,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2230,-0.31214362,-0.3845461,-0.31842485,-0.37728152,-0.3932385,-0.4197811,0.08681308,-0.072731204,0.17435983,-0.33442575,-0.16806668,-0.29496223,-0.22754179,-0.26823387,0.32773745,-0.28420204,-0.55130076,0.4786056,-0.14235501,1.9212193,0.34565508,-0.9460623,-0.65202105,1.4270865,0.36450452,-0.0544608,-0.23450354,-0.043749224,-0.28491494,0.1167825,-0.07695053,-0.1640085
3616,-0.31242985,-0.38477463,-0.3199823,-0.37661186,-0.3932385,-0.418823,0.08806261,-0.07427622,0.13240224,-0.33465073,-0.1680536,-0.29583293,-0.22806442,-0.28347,0.21404329,-0.27885938,-0.05340588,-0.31082046,0.17361955,-0.2384404,-0.24229538,-0.114937104,-0.27011356,-0.44252014,-1.038155,0.59903747,0.5177128,-0.38733527,0.5199614,-0.62068945,-0.355891,0.80342317
2363,-0.31481782,-0.38477463,-0.33868676,-0.36060292,-0.3932385,-0.4174041,0.0924312,-0.07487659,0.19196643,-0.33558646,-0.1680419,-0.29491806,-0.22697556,-0.28101796,0.104795024,-0.28451785,0.788559,0.46638626,-2.307593,1.9453007,2.7508392,0.21917461,1.235207,3.3104155,0.34608674,-0.054458596,-0.22205009,-0.044406332,-0.2944804,0.07784184,-0.075339764,-0.16315664
1791,-0.307498,-0.3845738,-0.32194328,-0.38066858,-0.3928939,-0.41837728,0.0838631,-0.07137026,1.8732076,0.26775077,-2.5675144,-2.768939,4.8356137,-1.462015,-1.638008,3.0759122,-0.053406034,-0.3108027,0.1737364,-0.24292651,-0.2419713,-0.11484759,-0.27861598,-0.44238162,0.3465465,-0.0544608,-0.23075825,-0.044406332,-0.2879942,0.13166441,-0.07695053,-0.1640085
410,4.5946097,3.0605266,5.1791863,4.607225,4.7729607,4.611583,-3.9075067,-2.517124,0.3248832,-0.33558646,-0.1679877,-0.2911928,-0.2264789,-0.26839027,0.104795024,-0.28451785,-0.053406034,-0.31079388,0.17374884,-0.24292651,-0.24229538,-0.11471485,-0.27861598,-0.44251716,0.35723913,-0.054378036,-0.22248463,-0.04276238,-0.26578385,0.07784184,-0.07451072,-0.1640085
1150,-0.31481782,-0.3843,-0.3384326,-0.37419775,-0.3932385,-0.42013723,0.10166119,-0.072544605,0.438066,-0.47039855,-1.0097429,-0.49268454,-1.5157437,-1.0614077,1.6176903,0.3614862,-0.053406034,-0.31081825,0.17364463,-0.236652,-0.24129286,-0.11499139,-0.26880845,-0.44252014,0.3485181,-0.054439228,-0.23450354,-0.0424724,-0.2944804,0.084976085,-0.07626907,-0.16267307
1032,-0.31228688,-0.38458544,-0.33868676,-0.3811822,-0.39320466,-0.41842395,0.091844186,-0.07487659,-1.8043203,0.85133857,1.82143,2.3626738,1.1137865,2.743543,-0.69829506,-0.7609607,-0.053405907,-0.31080958,0.17382848,-0.23492354,-0.24007432,-0.11480419,-0.26019526,-0.44240752,0.3510506,-0.0544608,-0.22829543,-0.04412488,-0.2944804,0.18774782,-0.07695053,-0.1640085
224,3.474764,0.3290748,4.902499,4.2392654,3.9592004,3.822811,0.072293125,-1.8299863,0.31080058,-0.33558646,-0.16802736,-0.29152888,-0.22630234,-0.263988,0.104795024,-0.28451785,-0.053406034,-0.31079802,0.17361955,-0.24292651,-0.24229538,-0.11474662,-0.27861598,-0.44252014,0.36851293,-0.054388456,-0.23450354,-0.04198639,-0.24810144,0.07784184,-0.07549838,-0.1640085
2800,-0.31169385,-0.38410082,-0.33344683,-0.38127926,-0.39293334,-0.41998753,0.0838631,-0.06651368,0.13240224,-0.33385822,-0.16807632,-0.29577288,-0.22807784,-0.27239066,0.14707455,-0.2776448,-2.123,3.415698,2.057028,-0.050703146,-1.5703899,-0.98453414,-0.042553976,1.1010709,0.36313567,-0.054394584,-0.23450354,-0.042000912,-0.2736349,0.23289038,-0.07695053,-0.1640085
2281,-0.31280065,-0.38443094,-0.32970855,-0.3780121,-0.3931624,-0.4186145,0.09781725,-0.06901965,0.13240224,-0.33433065,-0.16803072,-0.29489923,-0.22750531,-0.26882976,0.12890977,-0.27630103,-0.39366153,0.5920209,-1.0619463,3.2856045,1.523398,-1.0067503,-0.40647948,2.1610425,0.35939294,-0.054420967,-0.23450354,-0.043510687,-0.2944804,0.13492982,-0.07631715,-0.1640085
