,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2230,-0.40323105,-0.21799515,-0.465773,-0.48598713,-0.46587312,-0.46378028,-0.13455397,0.20673847,0.096886516,-0.39247757,-0.018317608,-0.21643692,-0.30363855,-0.25455236,0.37501374,-0.19713865,-0.5693541,0.43259764,0.36952004,0.3153535,-0.21087104,-0.5169774,-0.3729261,0.21331799,0.37260938,0.0010097236,-0.11682555,-0.099016055,-0.35157236,-0.0426317,-0.1124974,-0.16701555
2363,-0.4077367,-0.2183543,-0.48845267,-0.45796698,-0.4653976,-0.46174124,-0.12477806,0.20244186,0.07708729,-0.3900759,-0.018343152,-0.21432558,-0.30363393,-0.2577325,0.38115495,-0.19958307,1.3559997,0.69995755,-2.1881416,-0.2762593,2.2907932,1.3546363,2.478272,2.313388,0.37031564,0.00100571,-0.10740722,-0.0982126,-0.3560383,-0.06872271,-0.1124974,-0.1651002
410,4.6223783,3.3972974,3.7808812,3.7474115,3.8243344,3.212512,-1.5970813,-5.75013,0.04791235,-0.39356005,-0.018261023,-0.21491168,-0.30390152,-0.25811315,0.21362306,-0.19958307,0.034656227,-0.3792295,0.21749686,-0.30945456,-0.3110973,0.016526245,-0.20849268,-0.37041068,0.38970184,0.0010696556,-0.07771163,-0.09801572,-0.3689706,0.043365832,-0.1124974,-0.16668716
2800,-0.40138882,-0.21745554,-0.49329877,-0.48598713,-0.46587312,-0.46191603,-0.13455397,0.20454371,0.082461864,-0.39356005,-0.0182462,-0.21670362,-0.30351704,-0.25857192,0.21362306,-0.1915941,-2.7207274,3.334379,1.598193,2.6121256,-0.64421487,-2.038402,-1.2411611,-0.12135206,0.35710746,0.001074737,-0.11682555,-0.099632256,-0.36280766,-0.025029138,-0.11052839,-0.16710587
2858,-0.4071341,-0.2183543,-0.4337503,-0.47162402,-0.46571833,-0.4645561,-0.13038394,0.20550016,0.1484414,-0.3928107,-0.018343152,-0.2151815,-0.30350593,-0.2567565,0.34327766,-0.19958307,1.6187085,1.1599156,-3.815289,0.41848466,4.240283,1.3884252,3.3509088,3.743905,0.38006583,0.0010208599,-0.110190295,-0.09913453,-0.3621111,-0.039684515,-0.1124974,-0.16490269
3027,-0.4027508,-0.2183543,-0.47639564,-0.483522,-0.46576038,-0.4645561,-0.13207056,0.20635307,0.04791235,-0.39356005,-0.018335229,-0.21575384,-0.30390152,-0.2600461,0.21362306,-0.19503589,0.03465647,-0.3792634,0.21764591,-0.306688,-0.3110973,0.016123438,-0.20849268,-0.37044466,-1.393178,0.5858406,1.9889635,-0.59336096,-0.21455035,-0.1538922,-0.35479718,0.68735373
1371,-0.4035431,-0.2183543,-0.4895491,-0.48216957,-0.4658295,-0.4645561,-0.13455397,0.20339556,-1.2871413,1.076617,1.507511,0.8809582,0.597278,0.748054,-0.52451897,-0.48002678,0.034656767,-0.3792515,0.21753065,-0.30412108,-0.3110973,0.016034624,-0.20849268,-0.3705758,0.3733672,0.0010720567,-0.11057946,-0.099632256,-0.3453902,-0.06872271,-0.11232041,-0.16704385
910,3.1412768,1.6479983,3.0554461,2.782532,2.7447522,2.3517213,-0.9711629,-4.0812125,0.054488916,-0.39356005,-0.01831412,-0.21670362,-0.30312604,-0.25769958,0.23419195,-0.19797239,0.034656417,-0.3792274,0.21749686,-0.30945456,-0.3110973,0.01621536,-0.20849268,-0.3705758,0.3684228,0.0010180812,-0.11317616,-0.099496424,-0.35975716,-0.06435811,-0.1124974,-0.16685013
543,2.2265806,4.172471,0.6869989,1.7421265,2.3513231,2.3533912,-2.0349567,0.37616497,0.080695905,-0.39136496,-0.018299686,-0.2143087,-0.30390152,-0.25743788,0.238396,-0.1994311,0.034656648,-0.37918591,0.21768862,-0.30945456,-0.30951265,0.016444687,-0.20849268,-0.37048694,0.37125558,0.0010213942,-0.10508114,-0.09887557,-0.35306868,-0.015977569,-0.1124974,-0.16651994
3194,-0.4077367,-0.2175253,-0.4799908,-0.48128763,-0.46587312,-0.4645561,-0.1225628,0.20459454,0.055340566,-0.39356005,-0.018343152,-0.2156682,-0.30380383,-0.25951198,0.21362306,-0.19697641,0.034656227,-0.37925076,0.21776254,-0.3089386,-0.30869055,0.016034624,-0.2005389,-0.37051433,1.6565063,-3.009978,-2.7374823,2.9103096,-1.8417784,1.0657772,2.5867846,-3.610394
